1800 [Storia e Mitologia]: Chi era il dio greco del sole, della musica e della profezia? | Apollo, Ares, Ermes, Efesto | Ans: Apollo
1820 [Storia e Mitologia]: Come si chiamava il cane a tre teste a guardia degli inferi nella mitologia greca? | Cerbero, Ortro, Argo, Sirio | Ans: Cerbero
1821 [Storia e Mitologia]: Chi era la dea romana dell'amore e della bellezza? | Minerva, Giunone, Venere, Diana | Ans: Venere
1822 [Storia e Mitologia]: Quale navigatore guidò la prima spedizione che compì la circumnavigazione del globo? | Vasco da Gama, Bartolomeo Diaz, Cristoforo Colombo, Ferdinando Magellano | Ans: Ferdinando Magellano
1823 [Storia e Mitologia]: Chi fu il primo imperatore romano, salito al potere dopo la fine della Repubblica? | Giulio Cesare, Augusto, Traiano, Nerone | Ans: Augusto
1824 [Storia e Mitologia]: Quale eroe mitologico compì le celebri 'dodici fatiche'? | Giasone, Bellerofonte, Ercole, Odisseo | Ans: Ercole
1825 [Storia e Mitologia]: Da chi fu guidata la congiura che portò all'assassinio di Giulio Cesare? | Pompeo e Crasso, Bruto e Cassio, Marco Antonio e Lepido, Ottaviano e Agrippa | Ans: Bruto e Cassio
1826 [Storia e Mitologia]: Chi è il re degli dei e padre di tutte le cose nella mitologia norrena? | Thor, Loki, Freyr, Odino | Ans: Odino
1827 [Storia e Mitologia]: In che anno è iniziata la Prima Guerra Mondiale? | 1912, 1914, 1917, 1918 | Ans: 1914
1828 [Storia e Mitologia]: Quale città romana fu sepolta sotto cenere e pomice dall'eruzione del Vesuvio nel 79 d.C.? | Ercolano, Stabia, Pompei, Oplontis | Ans: Pompei
1829 [Storia e Mitologia]: Come si chiamava il mitologico labirinto in cui era rinchiuso il Minotauro? | Labirinto di Dedalo, Labirinto di Cnosso, Labirinto di Minosse, Labirinto di Creta | Ans: Labirinto di Cnosso
1830 [Storia e Mitologia]: Quale faraone egizio fece costruire i maestosi templi di Abu Simbel? | Ramses II, Tutmosis III, Akhenaton, Zoser | Ans: Ramses II
1831 [Storia e Mitologia]: Quale esploratore veneziano raccontò i suoi viaggi in Oriente nel libro 'Il Milione'? | Giovanni Caboto, Amerigo Vespucci, Marco Polo, Cristoforo Colombo | Ans: Marco Polo
1832 [Storia e Mitologia]: Chi era il dio egizio protettore dei morti, spesso raffigurato con la testa di sciacallo? | Osiride, Horus, Anubi, Thot | Ans: Anubi
1833 [Storia e Mitologia]: Quale astronomo pisano sostenne la teoria eliocentrica rischiando la condanna dal Sant'Uffizio? | Niccolò Copernico, Giovanni Keplero, Giordano Bruno, Galileo Galilei | Ans: Galileo Galilei
1834 [Storia e Mitologia]: Quale sovrano babilonese è ricordato per il suo antico e celebre codice di leggi? | Nabucodonosor II, Hammurabi, Gilgamesh, Sargon | Ans: Hammurabi
1835 [Storia e Mitologia]: Chi era la moglie di Zeus e regina degli dei dell'Olimpo? | Demetra, Estia, Era, Persefone | Ans: Era
1836 [Storia e Mitologia]: In quale città francese fu processata e arsa sul rogo Giovanna d'Arco? | Parigi, Orléans, Rouen, Reims | Ans: Rouen
1837 [Storia e Mitologia]: Chi era il dio greco del mare, dei terremoti e dei cavalli? | Poseidone, Ade, Apollo, Ermes | Ans: Poseidone
1838 [Storia e Mitologia]: Quale generale cartaginese invase l'Italia attraversando le Alpi con un esercito che includeva elefanti? | Asdrubale, Amilcare, Annone, Annibale | Ans: Annibale
1839 [Storia e Mitologia]: Come si chiamava la sposa e sorella di Osiride nella mitologia egizia, madre di Horus? | Hathor, Bastet, Sekhmet, Iside | Ans: Iside
1840 [Storia e Mitologia]: In quale anno si è conclusa ufficialmente la Seconda Guerra Mondiale? | 1943, 1944, 1945, 1946 | Ans: 1945
1841 [Storia e Mitologia]: Quale condottiero spagnolo fu responsabile della caduta e distruzione dell'impero azteco? | Francisco Pizarro, Hernán Cortés, Pedro de Alvarado, Vasco Núñez de Balboa | Ans: Hernán Cortés
1842 [Storia e Mitologia]: Come si chiamava il mostro con la testa di toro e il corpo di uomo, figlio di Pasifae? | Centauro, Satiro, Minotauro, Ciclope | Ans: Minotauro
1843 [Storia e Mitologia]: Chi fu il primo presidente nero del Sudafrica, premio Nobel per la pace per la sua lotta all'apartheid? | Desmond Tutu, Nelson Mandela, Steve Biko, Kofi Annan | Ans: Nelson Mandela
1844 [Storia e Mitologia]: Quale grande civiltà precolombiana costruì la celebre cittadella di Machu Picchu? | Aztechi, Maya, Olmechi, Inca | Ans: Inca
1845 [Storia e Mitologia]: Chi era il messaggero degli dei con i calzari alati e il caduceo nella mitologia greca? | Apollo, Ares, Hermes, Efesto | Ans: Hermes
1846 [Storia e Mitologia]: Quale zarina di Russia governò nel XVIII secolo, guadagnandosi l'appellativo di 'La Grande'? | Elisabetta, Anna, Caterina II, Maria Feodorovna | Ans: Caterina II
1847 [Storia e Mitologia]: Quale sovrana inglese viene ricordata storicamente come la 'Regina Vergine'? | Maria I Stuart, Elisabetta I, Maria Tudor, Vittoria | Ans: Elisabetta I
1848 [Storia e Mitologia]: Qual era il nome del dio sole supremo nell'antico pantheon egizio? | Amon, Ra, Ptah, Seth | Ans: Ra
1849 [Storia e Mitologia]: Quale celebre filosofo greco fu condannato a morte e costretto a bere la cicuta nel 399 a.C.? | Aristotele, Epicuro, Socrate, Pitagora | Ans: Socrate
1850 [Storia e Mitologia]: Chi è universalmente riconosciuto come l'inventore della stampa a caratteri mobili in Europa? | Leonardo da Vinci, Johannes Gutenberg, Aldo Manuzio, William Caxton | Ans: Johannes Gutenberg
1851 [Storia e Mitologia]: Nella mitologia norrena, con quale termine viene indicata la battaglia finale che porterà alla fine del mondo? | Valhalla, Yggdrasil, Ragnarǫk, Midgard | Ans: Ragnarǫk
1852 [Storia e Mitologia]: Quale imperatore romano istituì la Tetrarchia per meglio amministrare e difendere il vasto impero? | Costantino, Diocleziano, Traiano, Settimio Severo | Ans: Diocleziano
1853 [Storia e Mitologia]: Chi fu il primo mitico re di Roma secondo la tradizione? | Numa Pompilio, Tullo Ostilio, Tarquinio Prisco, Romolo | Ans: Romolo
1854 [Storia e Mitologia]: Come si chiamava il mitico eroe protagonista della prima grande epopea sumera? | Enkidu, Lugalbanda, Gilgamesh, Utnapishtim | Ans: Gilgamesh
1855 [Storia e Mitologia]: Quale antica divinità egizia, uccisa dal fratello Seth, divenne il giudice supremo dell'oltretomba? | Horus, Anubi, Thot, Osiride | Ans: Osiride
1856 [Storia e Mitologia]: Chi pronunciò la celebre frase 'Il dado è tratto' (Alea iacta est) attraversando il Rubicone? | Pompeo, Marco Antonio, Ottaviano, Giulio Cesare | Ans: Giulio Cesare
1857 [Storia e Mitologia]: Quale leggendario re britanno era il leader dei Cavalieri della Tavola Rotonda? | Re Lear, Re Artù, Riccardo Cuor di Leone, Edoardo il Confessore | Ans: Re Artù
1858 [Storia e Mitologia]: Quale presidente degli Stati Uniti guidò il Paese durante la Guerra Civile ed abolì la schiavitù? | George Washington, Thomas Jefferson, Abraham Lincoln, Theodore Roosevelt | Ans: Abraham Lincoln
1859 [Storia e Mitologia]: Come si chiama il gigante con un occhio solo al centro della fronte nella mitologia greca? | Titano, Centimane, Ciclope, Gigante | Ans: Ciclope
1860 [Storia e Mitologia]: Quale grande artista del Rinascimento dipinse la volta della Cappella Sistina? | Leonardo da Vinci, Raffaello Sanzio, Sandro Botticelli, Michelangelo Buonarroti | Ans: Michelangelo Buonarroti
1861 [Storia e Mitologia]: Quale dea greca presiedeva all'agricoltura, alle messi e alla fertilità dei campi? | Demetra, Estia, Artemide, Afrodite | Ans: Demetra
1862 [Storia e Mitologia]: In che anno è stato abbattuto il Muro di Berlino, simbolo della Guerra Fredda? | 1985, 1989, 1991, 1993 | Ans: 1989
1863 [Storia e Mitologia]: Quale esploratore norvegese fu il primo uomo a raggiungere il Polo Sud nel 1911? | Robert Falcon Scott, Ernest Shackleton, Roald Amundsen, Fridtjof Nansen | Ans: Roald Amundsen
1864 [Storia e Mitologia]: Chi era il dio romano del fuoco, della metallurgia e dei vulcani? | Vulcano, Marte, Mercurio, Apollo | Ans: Vulcano
1865 [Storia e Mitologia]: Come si chiamava la fazione politica che nell'Italia medievale sosteneva il Papa contro l'Imperatore? | Guelfi, Bianchi, Neri, Ghibellini | Ans: Guelfi
1866 [Storia e Mitologia]: Quale mitico eroe ateniese entrò nel labirinto di Creta e uccise il Minotauro? | Perseo, Giasone, Bellerofonte, Teseo | Ans: Teseo
1867 [Storia e Mitologia]: Chi fu il dittatore a capo dell'Unione Sovietica dalla fine degli anni '20 al 1953? | Vladimir Lenin, Iosif Stalin, Nikita Chruščёv, Lev Trockij | Ans: Iosif Stalin
1868 [Storia e Mitologia]: Quale faraone egizio è noto per aver introdotto il culto monoteistico del disco solare, Aton? | Akhenaton, Tutankhamon, Ramses II, Amenofi III | Ans: Akhenaton
1869 [Storia e Mitologia]: Quale eroe scozzese guidò la ribellione contro l'Inghilterra vincendo la battaglia di Stirling Bridge? | Robert Bruce, William Wallace, Giacomo I, Maria Stuart | Ans: William Wallace
1870 [Storia e Mitologia]: Chi era l'astuto e ambiguo dio norreno dell'inganno e della magia, capace di mutare forma? | Tyr, Heimdall, Loki, Freyr | Ans: Loki
1871 [Storia e Mitologia]: Quale esploratore, al servizio dell'Inghilterra, scoprì il Nord America continentale nel 1497? | Giovanni da Verrazzano, Amerigo Vespucci, Giovanni Caboto, Cristoforo Colombo | Ans: Giovanni Caboto
1872 [Storia e Mitologia]: A quale epica e sanguinosa guerra è dedicato il poema di Omero chiamato Iliade? | Guerra del Peloponneso, Guerre Persiane, Guerra di Troia, Guerra di Tebe | Ans: Guerra di Troia
1873 [Storia e Mitologia]: Quale zar intraprese un vasto programma di modernizzazione della Russia e fondò una nuova capitale? | Ivan il Terribile, Pietro il Grande, Nicola II, Alessandro II | Ans: Pietro il Grande
1874 [Storia e Mitologia]: Quali creature mitologiche attiravano i marinai per farli naufragare contro gli scogli con il loro canto? | Arpie, Sirene, Gorgoni, Parche | Ans: Sirene
1875 [Storia e Mitologia]: Chi fu il primo essere umano a viaggiare nello spazio esterno nel 1961? | Neil Armstrong, Buzz Aldrin, Jurij Gagarin, John Glenn | Ans: Jurij Gagarin
1876 [Storia e Mitologia]: Quale popolo dell'antica Mesoamerica fondò la magnifica capitale Tenochtitlán? | Toltechi, Zapotechi, Maya, Aztechi | Ans: Aztechi
1877 [Storia e Mitologia]: Chi era la divinità greca del vino, della vite, del teatro e dell'estasi? | Pan, Dioniso, Apollo, Efesto | Ans: Dioniso
1878 [Storia e Mitologia]: In quale anno l'equipaggio dell'Apollo 11 è atterrato per la prima volta sulla Luna? | 1961, 1965, 1969, 1972 | Ans: 1969
1879 [Storia e Mitologia]: Quale politico e abile militare si incoronò Imperatore dei Francesi nel 1804? | Luigi XVI, Maximilien de Robespierre, Napoleone Bonaparte, Carlo Magno | Ans: Napoleone Bonaparte
1880 [Storia e Mitologia]: Qual è la potente arma brandita dal dio Poseidone per scatenare tempeste e maremoti? | Il Tridente, La Folgore, Il Martello, La Lancia | Ans: Il Tridente
1881 [Storia e Mitologia]: Chi guidò la leggendaria spedizione militare dei Mille che contribuì all'Unità d'Italia? | Camillo Benso di Cavour, Giuseppe Mazzini, Vittorio Emanuele II, Giuseppe Garibaldi | Ans: Giuseppe Garibaldi
1882 [Storia e Mitologia]: Quale celebre regina di Francia morì sulla ghigliottina durante la Rivoluzione nel 1793? | Maria Teresa d'Austria, Maria de' Medici, Maria Antonietta, Anna d'Austria | Ans: Maria Antonietta
1883 [Storia e Mitologia]: In quale anno fu proclamato ufficialmente il Regno d'Italia? | 1848, 1861, 1870, 1914 | Ans: 1861
1884 [Storia e Mitologia]: Chi era il temuto e inesorabile sovrano del regno dei morti nella mitologia greca? | Tartaro, Caronte, Ade, Erebo | Ans: Ade
1885 [Storia e Mitologia]: Quale brillante generale bizantino riconquistò gran parte dell'Italia sotto Giustiniano I? | Narsete, Belisario, Eraclio, Basilio | Ans: Belisario
1886 [Storia e Mitologia]: Quale uccello notturno era sacro alla dea Atena e divenne il simbolo della saggezza? | Il corvo, L'aquila, La civetta, Il gufo reale | Ans: La civetta
1887 [Storia e Mitologia]: Come si chiamava lo studente che nel 1914 assassinò l'arciduca Francesco Ferdinando a Sarajevo? | Gavrilo Princip, Nedeljko Čabrinović, Trifko Grabež, Danilo Ilić | Ans: Gavrilo Princip
1888 [Storia e Mitologia]: In quale regione storica asiatica fiorirono antiche civiltà come i Sumeri e i Babilonesi? | Levante, Mesopotamia, Anatolia, Persia | Ans: Mesopotamia
1889 [Storia e Mitologia]: Chi era il leggendario gigante cacciatore greco, trasformato in costellazione dopo la morte? | Orione, Teseo, Atamante, Perseo | Ans: Orione
1890 [Storia e Mitologia]: Quale valoroso generale romano sconfisse definitivamente Annibale nella battaglia di Zama? | Scipione l'Africano, Quinto Fabio Massimo, Gaio Mario, Lucio Cornelio Silla | Ans: Scipione l'Africano
1891 [Storia e Mitologia]: Quale leader sudamericano guidò l'indipendenza di molti Paesi, venendo soprannominato 'El Libertador'? | José de San Martín, Bernardo O'Higgins, Simón Bolívar, Francisco de Miranda | Ans: Simón Bolívar
1892 [Storia e Mitologia]: Quale eroe troiano riuscì a sfuggire all'incendio della sua città, dando origine alla stirpe romana? | Ettore, Paride, Anchise, Enea | Ans: Enea
1893 [Storia e Mitologia]: In quale anno crollò definitivamente l'Impero Romano d'Oriente con la caduta di Costantinopoli? | 1204, 1337, 1453, 1492 | Ans: 1453
1894 [Storia e Mitologia]: Quale sovrano neobabilonese è ricordato per aver costruito i mitici Giardini pensili di Babilonia? | Nabucodonosor II, Ciro il Grande, Dario I, Tiglatpileser | Ans: Nabucodonosor II
1895 [Storia e Mitologia]: Chi è il centauro più celebre della mitologia greca, noto per la sua saggezza e come maestro di eroi? | Nesso, Folo, Chirone, Euritione | Ans: Chirone
1896 [Storia e Mitologia]: Quale imperatore emanò l'Editto di Milano nel 313 d.C., concedendo libertà di culto ai cristiani? | Diocleziano, Costantino I, Teodosio I, Giuliano | Ans: Costantino I
1897 [Storia e Mitologia]: Chi fu la prima donna nella storia a vincere un Premio Nobel per le sue ricerche scientifiche? | Rosalind Franklin, Ada Lovelace, Lise Meitner, Marie Curie | Ans: Marie Curie
1898 [Storia e Mitologia]: Quale leggendario re persiano fondò il vasto Impero achemenide nel VI secolo a.C.? | Ciro il Grande, Dario I, Serse, Artaserse | Ans: Ciro il Grande
1899 [Storia e Mitologia]: Quale titanessa della mitologia greca era la madre degli dei Zeus, Poseidone e Ade? | Gea, Temi, Mnemosine, Rea | Ans: Rea
1900 [Tecnologia e Videogiochi]: Qual è stata la prima console prodotta da Sony? | PlayStation, Nintendo 64, Xbox, Sega Saturn | Ans: PlayStation
1901 [Tecnologia e Videogiochi]: In che anno è stato lanciato il primo iPhone? | 2005, 2007, 2008, 2010 | Ans: 2007
1902 [Tecnologia e Videogiochi]: Qual è l'azienda creatrice del videogioco 'Minecraft'? | Epic Games, Electronic Arts, Mojang, Ubisoft | Ans: Mojang
1903 [Tecnologia e Videogiochi]: Come si chiama il protagonista della serie di videogiochi 'The Legend of Zelda'? | Zelda, Link, Ganon, Mario | Ans: Link
1904 [Tecnologia e Videogiochi]: Quale linguaggio di programmazione è rappresentato dal logo di una tazzina di caffè? | Java, Python, C++, Ruby | Ans: Java
1905 [Tecnologia e Videogiochi]: Chi è il fondatore di Microsoft? | Steve Jobs, Mark Zuckerberg, Elon Musk, Bill Gates | Ans: Bill Gates
1906 [Tecnologia e Videogiochi]: Quale di queste console è la più venduta di tutti i tempi? | PlayStation 2, Nintendo DS, Game Boy, PlayStation 4 | Ans: PlayStation 2
1907 [Tecnologia e Videogiochi]: In 'Pac-Man', qual è il colore del fantasma Blinky? | Blu, Rosso, Rosa, Arancione | Ans: Rosso
1908 [Tecnologia e Videogiochi]: Qual è il sistema operativo open source per eccellenza? | Windows, macOS, Linux, iOS | Ans: Linux
1909 [Tecnologia e Videogiochi]: Come si chiama l'intelligenza artificiale della serie di videogiochi 'Halo'? | Siri, Alexa, GLaDOS, Cortana | Ans: Cortana
1910 [Tecnologia e Videogiochi]: Quale azienda ha sviluppato il motore grafico 'Unreal Engine'? | Epic Games, Valve, Unity Technologies, Crytek | Ans: Epic Games
1911 [Tecnologia e Videogiochi]: In quale videogioco il giocatore esplora la regione di Tamriel? | The Witcher 3, World of Warcraft, The Elder Scrolls V: Skyrim, Dragon Age | Ans: The Elder Scrolls V: Skyrim
1912 [Tecnologia e Videogiochi]: Qual è il videogioco più venduto di sempre? | Minecraft, Tetris, Grand Theft Auto V, Wii Sports | Ans: Minecraft
1913 [Tecnologia e Videogiochi]: Cosa significa l'acronimo 'CPU'? | Computer Personal Unit, Central Processing Unit, Central Process Utility, Core Processing Unit | Ans: Central Processing Unit
1914 [Tecnologia e Videogiochi]: Quale azienda ha creato la serie di schede grafiche GeForce? | AMD, Intel, NVIDIA, Matrox | Ans: NVIDIA
1915 [Tecnologia e Videogiochi]: Qual è il nome della principessa nel franchise di 'Super Mario'? | Daisy, Rosalinda, Zelda, Peach | Ans: Peach
1916 [Tecnologia e Videogiochi]: Quale videogioco del 2017 ha lanciato il fenomeno di massa del genere 'Battle Royale'? | Fortnite, PUBG: Battlegrounds, Apex Legends, H1Z1 | Ans: PUBG: Battlegrounds
1917 [Tecnologia e Videogiochi]: Qual è il simbolo chimico del materiale più usato per i semiconduttori nei microchip? | Ge (Germanio), Si (Silicio), C (Carbonio), Cu (Rame) | Ans: Si (Silicio)
1918 [Tecnologia e Videogiochi]: Chi è il creatore della serie 'Metal Gear'? | Shigeru Miyamoto, Shinji Mikami, Hideki Kamiya, Hideo Kojima | Ans: Hideo Kojima
1919 [Tecnologia e Videogiochi]: In che anno è uscito il primo gioco della serie 'Pokémon' in Giappone? | 1996, 1998, 1995, 1999 | Ans: 1996
1920 [Tecnologia e Videogiochi]: Quale dispositivo Apple è stato introdotto nel 2010 per posizionarsi tra iPhone e MacBook? | iPod Touch, iPad, Apple Watch, Mac mini | Ans: iPad
1921 [Tecnologia e Videogiochi]: Come si chiama l'idraulico verde fratello di Mario? | Wario, Waluigi, Luigi, Toad | Ans: Luigi
1922 [Tecnologia e Videogiochi]: Qual è la risoluzione standard per il 4K UHD? | 2560 x 1440, 1920 x 1080, 4096 x 2160, 3840 x 2160 | Ans: 3840 x 2160
1923 [Tecnologia e Videogiochi]: In 'Overwatch', quale personaggio utilizza il motto 'Cheers, love! The cavalry's here!'? | Mercy, Tracer, D.Va, Widowmaker | Ans: Tracer
1924 [Tecnologia e Videogiochi]: Quale social network è stato originariamente concepito per studenti di Harvard? | Facebook, Twitter, Instagram, LinkedIn | Ans: Facebook
1925 [Tecnologia e Videogiochi]: Qual è il nome dell'azienda che produce i processori 'Ryzen'? | Intel, Qualcomm, AMD, ARM | Ans: AMD
1926 [Tecnologia e Videogiochi]: Nel gioco 'Portal', quale oggetto è costantemente promesso come ricompensa ma si rivela una bugia? | Il cubo da compagnia, La pistola a portali, La libertà, La torta | Ans: La torta
1927 [Tecnologia e Videogiochi]: Quale piattaforma di distribuzione digitale è stata lanciata da Valve nel 2003? | Epic Games Store, Steam, Origin, GOG.com | Ans: Steam
1928 [Tecnologia e Videogiochi]: Quale di queste estensioni di file è comunemente associata a un'immagine vettoriale? | .jpg, .png, .svg, .gif | Ans: .svg
1929 [Tecnologia e Videogiochi]: Chi ha inventato il World Wide Web? | Bill Gates, Steve Wozniak, Linus Torvalds, Tim Berners-Lee | Ans: Tim Berners-Lee
1930 [Tecnologia e Videogiochi]: Nel mondo di 'The Witcher', quale professione esercita Geralt di Rivia? | Cacciatore di mostri, Stregone oscuro, Re di Temeria, Bardo | Ans: Cacciatore di mostri
1931 [Tecnologia e Videogiochi]: Qual è stata la console portatile Nintendo del 2004 caratterizzata dal doppio schermo? | Game Boy Advance, Nintendo DS, Nintendo 3DS, Game & Watch | Ans: Nintendo DS
1932 [Tecnologia e Videogiochi]: Come si chiama la valuta virtuale introdotta nel 2009 basata sulla tecnologia blockchain? | Ethereum, Dogecoin, Bitcoin, Litecoin | Ans: Bitcoin
1933 [Tecnologia e Videogiochi]: Quale popolare gioco indie ti mette nei panni di un ispettore dell'immigrazione nel fittizio stato di Arstotzka? | Return of the Obra Dinn, Stardew Valley, Undertale, Papers, Please | Ans: Papers, Please
1934 [Tecnologia e Videogiochi]: Come si chiama il principale antagonista nella serie di videogiochi 'Sonic the Hedgehog'? | Bowser, Ganondorf, Dr. Eggman (Robotnik), Sephiroth | Ans: Dr. Eggman (Robotnik)
1935 [Tecnologia e Videogiochi]: Qual era il limite di caratteri originale per un tweet su Twitter? | 140, 280, 100, 256 | Ans: 140
1936 [Tecnologia e Videogiochi]: In 'League of Legends', qual è il numero di giocatori per squadra in una partita standard? | 4, 6, 3, 5 | Ans: 5
1937 [Tecnologia e Videogiochi]: Da quale azienda è stato acquisito YouTube nel 2006? | Microsoft, Google, Facebook, Amazon | Ans: Google
1938 [Tecnologia e Videogiochi]: Chi è il protagonista del franchise 'God of War'? | Atreus, Zeus, Kratos, Ares | Ans: Kratos
1939 [Tecnologia e Videogiochi]: Quale componente hardware del PC è responsabile della memoria volatile (a breve termine)? | Hard Disk, SSD, RAM, Scheda Madre | Ans: RAM
1940 [Tecnologia e Videogiochi]: Quale videogioco del 1993 è considerato uno dei pionieri del genere sparatutto in prima persona? | Quake, Doom, Half-Life, Wolfenstein 3D | Ans: Doom
1941 [Tecnologia e Videogiochi]: Come si chiama il visore per la realtà virtuale sviluppato da Sony per PlayStation 4? | Oculus Rift, HTC Vive, Gear VR, PlayStation VR | Ans: PlayStation VR
1942 [Tecnologia e Videogiochi]: Qual è l'unità di base dell'informazione digitale? | Byte, Bit, Kilobyte, Megabyte | Ans: Bit
1943 [Tecnologia e Videogiochi]: Quale console è famosa per l'uso dei controller a forma di telecomando chiamati 'Wiimote'? | GameCube, Wii, Wii U, Switch | Ans: Wii
1944 [Tecnologia e Videogiochi]: Nel gioco 'Cyberpunk 2077', in quale metropoli si svolgono le vicende? | Los Santos, Liberty City, Night City, Raccoon City | Ans: Night City
1945 [Tecnologia e Videogiochi]: Quale dispositivo hardware viene utilizzato per connettere più reti informatiche e instradare i pacchetti di dati? | Modem, Router, Switch, Hub | Ans: Router
1946 [Tecnologia e Videogiochi]: Qual è lo studio originale creatore della serie 'Tomb Raider' nel 1996? | Naughty Dog, Crystal Dynamics, Core Design, Ubisoft | Ans: Core Design
1947 [Tecnologia e Videogiochi]: Quale di questi NON è un browser web? | Firefox, Bing, Chrome, Safari | Ans: Bing
1948 [Tecnologia e Videogiochi]: Qual è il nome della città sottomarina dove è ambientato il primo 'BioShock'? | Columbia, Arcadia, Olympus, Rapture | Ans: Rapture
1949 [Tecnologia e Videogiochi]: Quale protocollo è usato per trasferire pagine web su internet in modo crittografato e sicuro? | HTTP, FTP, HTTPS, SMTP | Ans: HTTPS
1950 [Tecnologia e Videogiochi]: Quale di questi titoli fa parte del genere MOBA? | Counter-Strike, World of Warcraft, Dota 2, StarCraft II | Ans: Dota 2
1951 [Tecnologia e Videogiochi]: Come si chiama il primo satellite artificiale lanciato nello spazio nel 1957? | Apollo 11, Voyager 1, Explorer 1, Sputnik 1 | Ans: Sputnik 1
1952 [Tecnologia e Videogiochi]: In quale videogioco del 2000 l'obiettivo è gestire la vita quotidiana di esseri umani virtuali? | SimCity, The Sims, Spore, Second Life | Ans: The Sims
1953 [Tecnologia e Videogiochi]: Quale matematico britannico è considerato uno dei padri dell'informatica? | Nikola Tesla, Alan Turing, Thomas Edison, Guglielmo Marconi | Ans: Alan Turing
1954 [Tecnologia e Videogiochi]: In 'Red Dead Redemption 2', qual è il nome della banda a cui appartiene Arthur Morgan? | Banda di O'Driscoll, Banda di Del Lobo, Banda di Van der Linde, Banda di Laramie | Ans: Banda di Van der Linde
1955 [Tecnologia e Videogiochi]: Che cosa indica il codice di errore HTTP 404? | Accesso negato, Errore interno del server, Connessione scaduta, Pagina non trovata | Ans: Pagina non trovata
1956 [Tecnologia e Videogiochi]: Quale azienda giapponese produce la console 'PlayStation'? | Nintendo, Sony, Sega, Microsoft | Ans: Sony
1957 [Tecnologia e Videogiochi]: Chi è il co-fondatore di Apple insieme a Steve Jobs e Ronald Wayne? | Paul Allen, Larry Page, Steve Wozniak, Tim Cook | Ans: Steve Wozniak
1958 [Tecnologia e Videogiochi]: Qual è la regione principale esplorata in 'Fallout: New Vegas'? | Zona Contaminata della Capitale, Commonwealth, Appalachia, Deserto del Mojave | Ans: Deserto del Mojave
