900: In quale città si sono tenute le Olimpiadi estive del 2008? | Pechino, Londra, Atene, Sydney | Ans: 0 (Pechino)
933: Quale ginnasta rumena ottenne il primo 10 perfetto alle Olimpiadi? | Nadia Comăneci, Olga Korbut, Simone Biles, Mary Lou Retton | Ans: 0 (Nadia Comăneci)
934: Quanti anelli ci sono nel simbolo olimpico? | 4, 5, 6, 7 | Ans: 1 (5)
935: Che sport praticava Valentino Rossi? | Formula 1, Rally, Motomondiale, Motocross | Ans: 2 (Motomondiale)
936: Quanti punti vale una 'meta' nel rugby a 15? | 3, 5, 7, 2 | Ans: 1 (5)
937: In quale sport la rete è alta 1,524 metri al centro del campo? | Pallavolo, Tennis, Badminton, Tennistavolo | Ans: 2 (Badminton)
938: Quale atleta giamaicano detiene il record mondiale sui 100 e 200 metri piani? | Yohan Blake, Asafa Powell, Usain Bolt, Tyson Gay | Ans: 2 (Usain Bolt)
939: Che forma ha il pallone da basket ufficiale? | Ovale, Sferica, Cubica, Cilindrica | Ans: 1 (Sferica)
940: In quale sport si vince la 'Stanley Cup'? | Baseball, Football americano, Hockey su ghiaccio, Basket | Ans: 2 (Hockey su ghiaccio)
941: Qual è il soprannome della nazionale neozelandese di rugby? | Springboks, Wallabies, All Blacks, Pumas | Ans: 2 (All Blacks)
942: In quale specialità sciistica gli atleti sparano con un fucile? | Slalom speciale, Salto con gli sci, Biathlon, Combinata nordica | Ans: 2 (Biathlon)
943: Dove si tiene ogni anno il torneo di tennis su erba più famoso al mondo? | Parigi, New York, Melbourne, Wimbledon | Ans: 3 (Wimbledon)
944: Come si chiama l'infrazione nel basket in cui un giocatore corre senza palleggiare? | Fallo, Doppio palleggio, Passi, Infrazione di campo | Ans: 2 (Passi)
945: Chi ha vinto l'Europeo di calcio maschile giocato nel 2021 (Euro 2020)? | Inghilterra, Spagna, Italia, Francia | Ans: 2 (Italia)
946: Quale pilota ha vinto il maggior numero di titoli mondiali in Formula 1 insieme a Michael Schumacher? | Ayrton Senna, Alain Prost, Lewis Hamilton, Sebastian Vettel | Ans: 2 (Lewis Hamilton)
947: In che sport si utilizzano i guantoni, il paradenti e le scarpette leggere? | Scherma, Taekwondo, Pugilato, Lotta libera | Ans: 2 (Pugilato)
948: Qual è la distanza ufficiale di una maratona? | 21,097 km, 42,195 km, 40 km, 50 km | Ans: 1 (42,195 km)
949: Quale tennista spagnolo è soprannominato 'Il re della terra rossa'? | Carlos Alcaraz, David Ferrer, Rafael Nadal, Carlos Moyá | Ans: 2 (Rafael Nadal)
950: Quale squadra detiene il record di vittorie consecutive nella Serie A italiana (9 scudetti dal 2012 al 2020)? | Milan, Inter, Juventus, Napoli | Ans: 2 (Juventus)
951: Quanti giocatori compongono una squadra di pallanuoto in acqua? | 6, 7, 8, 11 | Ans: 1 (7)
952: Come si chiama l'area verde attorno alla buca nel golf? | Fairway, Tee, Bunker, Green | Ans: 3 (Green)
953: In quale nazione si trova il famoso circuito di Formula 1 di Silverstone? | Stati Uniti, Gran Bretagna, Germania, Francia | Ans: 1 (Gran Bretagna)
954: Che ruolo aveva Gianluigi Buffon nel calcio? | Attaccante, Centrocampista, Difensore, Portiere | Ans: 3 (Portiere)
955: Quale di queste non è una mossa o un termine della scherma? | Stoccata, Parata, Fendente, Schiacciata | Ans: 3 (Schiacciata)
956: In che sport si affrontano i lottatori di Sumo? | Lotta libera, Arti marziali miste, Lotta tradizionale giapponese, Lotta greco-romana | Ans: 2 (Lotta tradizionale giapponese)
957: Quante medaglie d'oro olimpiche ha vinto Marcell Jacobs a Tokyo 2020? | 1, 2, 3, Nessuna | Ans: 1 (2)
958: Come si chiama il trofeo assegnato al vincitore del Super Bowl (NFL)? | Vince Lombardi Trophy, Stanley Cup, Larry O'Brien Trophy, Commissioner's Trophy | Ans: 0 (Vince Lombardi Trophy)
959: In quale disciplina dell'atletica leggera si usa un attrezzo sferico pesante per gli uomini? | Lancio del giavellotto, Lancio del disco, Getto del peso, Salto triplo | Ans: 2 (Getto del peso)
960: In quale anno si sono svolte le Olimpiadi di Roma? | 1956, 1960, 1964, 1968 | Ans: 1 (1960)
961: Chi è l'allenatore di calcio italiano vincitore di 4 Champions League (al 2022)? | Marcello Lippi, Arrigo Sacchi, Carlo Ancelotti, Giovanni Trapattoni | Ans: 2 (Carlo Ancelotti)
962: In che città ha sede la squadra NBA dei Lakers? | Chicago, New York, Boston, Los Angeles | Ans: 3 (Los Angeles)
963: In quale sport viene usato il 'fioretto'? | Tiro con l'arco, Scherma, Equitazione, Ginnastica ritmica | Ans: 1 (Scherma)
964: Quale ginnasta italiano è soprannominato 'Il Signore degli Anelli'? | Igor Cassina, Jury Chechi, Matteo Morandi, Alberto Busnari | Ans: 1 (Jury Chechi)
965: Quale colore di cintura si indossa prima della nera nelle arti marziali comuni come il judo? | Blu, Marrone, Verde, Rossa | Ans: 1 (Marrone)
966: Chi ha vinto il maggior numero di titoli mondiali nel motociclismo classe regina? | Valentino Rossi, Giacomo Agostini, Marc Marquez, Mick Doohan | Ans: 1 (Giacomo Agostini)
967: In quale sport si usa una palla simile a quella da baseball ma più grande? | Softball, Cricket, Pallamano, Palla prigioniera | Ans: 0 (Softball)
968: Come si chiama lo strumento utilizzato per scagliare le frecce nel tiro con l'arco? | Balestra, Arco, Fionda, Carabina | Ans: 1 (Arco)
969: In quale sport è famoso Tiger Woods? | Tennis, Pugilato, Golf, Automobilismo | Ans: 2 (Golf)
970: Quanti set servono per vincere una partita di pallavolo professionistica indoor? | 2, 3, 4, 5 | Ans: 1 (3)
971: In quale paese si sono svolti i Mondiali di calcio del 1990? | Francia, Italia, Stati Uniti, Messico | Ans: 1 (Italia)
972: Quale nazione ha il maggior numero di vittorie nella Coppa Davis di tennis maschile? | Australia, Francia, Stati Uniti d'America, Regno Unito | Ans: 2 (Stati Uniti d'America)
973: Che cosa si usa per colpire la pallina nel tennistavolo? | Racchetta, Mazza, Pagaia, Mano | Ans: 0 (Racchetta)
974: Quanti millimetri è il diametro di una pallina da ping pong standard? | 38 mm, 40 mm, 42 mm, 45 mm | Ans: 1 (40 mm)
975: Chi è stato il primo pugile a sconfiggere Muhammad Ali da professionista? | Joe Frazier, George Foreman, Sonny Liston, Ken Norton | Ans: 0 (Joe Frazier)
976: Quale squadra di club ha vinto più UEFA Champions League (Coppe dei Campioni)? | Milan, Bayern Monaco, Real Madrid, Liverpool | Ans: 2 (Real Madrid)
977: Chi è l'atleta femminile più decorata nella storia della ginnastica artistica ai mondiali? | Simone Biles, Svetlana Khorkina, Nadia Comaneci, Larisa Latynina | Ans: 0 (Simone Biles)
978: Quanti giocatori compongono una squadra di hockey su ghiaccio in pista (incluso il portiere)? | 5, 6, 7, 11 | Ans: 1 (6)
979: Quale ciclista belga è soprannominato 'Il Cannibale'? | Eddy Merckx, Bernard Hinault, Miguel Indurain, Fausto Coppi | Ans: 0 (Eddy Merckx)
980: In quale sport si gioca il torneo 'Sei Nazioni'? | Pallavolo, Cricket, Calcio, Rugby a 15 | Ans: 3 (Rugby a 15)
981: Che sport è il 'BMX'? | Pattinaggio, Ciclismo, Sci, Motociclismo | Ans: 1 (Ciclismo)
982: In quale sport di squadra si possono effettuare sostituzioni illimitate 'volanti' durante il gioco? | Calcio, Hockey su ghiaccio, Rugby, Basket | Ans: 1 (Hockey su ghiaccio)
983: Chi detiene il record di punti segnati in una singola partita di NBA (100 punti)? | Michael Jordan, Kobe Bryant, Wilt Chamberlain, LeBron James | Ans: 2 (Wilt Chamberlain)
984: Quale sciatrice americana ha detenuto il record femminile di vittorie in Coppa del Mondo prima di Mikaela Shiffrin? | Lindsey Vonn, Tina Maze, Anna Fenninger, Julia Mancuso | Ans: 0 (Lindsey Vonn)
985: Quanti birilli ci sono nel bowling tradizionale a dieci birilli? | 8, 10, 12, 15 | Ans: 1 (10)
986: Qual è l'attrezzo della ginnastica ritmica simile a una corda ma realizzato in raso o materiale leggero? | Fune, Nastro, Cerchio, Clavetta | Ans: 1 (Nastro)
987: In quale città italiana si trova l'Autodromo Nazionale di Formula 1, noto come 'Il tempio della velocità'? | Imola, Mugello, Monza, Misano | Ans: 2 (Monza)
988: Quale nazione ospita il primo torneo del Grande Slam di tennis dell'anno? | Cina, Giappone, Corea del Sud, Australia | Ans: 3 (Australia)
989: Come si chiama lo sport in cui si esegue una corsa di orientamento con l'uso di bussola e mappa? | Trekking, Trail running, Orienteering, Parkour | Ans: 2 (Orienteering)
990: Quale pilota automobilistico brasiliano perse la vita in un tragico incidente a Imola nel 1994? | Nelson Piquet, Emerson Fittipaldi, Rubens Barrichello, Ayrton Senna | Ans: 3 (Ayrton Senna)
991: In quale sport acquatico si pratica il 'Kitesurf'? | Nuoto, Vela, Surf con un aquilone trainante, Canoa | Ans: 2 (Surf con un aquilone trainante)
992: Chi ha vinto l'oro nel salto in alto maschile a Tokyo 2020 a pari merito con Mutaz Essa Barshim? | Javier Sotomayor, Gianmarco Tamberi, Stefan Holm, Ilya Ivanyuk | Ans: 1 (Gianmarco Tamberi)
993: Che cos'è l'Ironman? | Gara di sollevamento pesi, Triathlon di lunga distanza, Torneo di arti marziali, Specialità di atletica leggera | Ans: 1 (Triathlon di lunga distanza)
994: In quale sport è previsto l'uso del 'volano'? | Tennis, Badminton, Padel, Squash | Ans: 1 (Badminton)
995: Quale nazione ha dominato la pallanuoto maschile alle Olimpiadi dal 2000 al 2008 vincendo tre ori consecutivi? | Italia, Croazia, Serbia, Ungheria | Ans: 3 (Ungheria)
996: Da quante prove è composto il decathlon maschile nell'atletica leggera? | 8, 10, 12, 15 | Ans: 1 (10)
997: Chi è considerata una delle più grandi tuffatrici italiane, vincitrice di due medaglie a Rio 2016? | Federica Pellegrini, Tania Cagnotto, Fiona May, Josefa Idem | Ans: 1 (Tania Cagnotto)
998: In quale sport si assegnano i gradi 'Dan'? | Ginnastica artistica, Arti marziali, Sollevamento pesi, Scherma | Ans: 1 (Arti marziali)
999: In che città si sono svolte le prime Paralimpiadi estive nel 1960? | Londra, Roma, Parigi, New York | Ans: 1 (Roma)
1700: Qual è lo sport nazionale del Giappone? | Judo, Sumo, Karate, Kendo | Ans: 1 (Sumo)
1701: In quale anno si sono svolti i primi Giochi Olimpici moderni? | 1892, 1896, 1900, 1904 | Ans: 1 (1896)
1702: Quanto dura un quarto in una partita di basket NBA? | 10 minuti, 12 minuti, 15 minuti, 20 minuti | Ans: 1 (12 minuti)
1703: Quale nazione ha vinto il maggior numero di Coppe del Mondo di calcio maschile? | Italia, Germania, Brasile, Argentina | Ans: 2 (Brasile)
1704: In quale sport si utilizza il termine 'Home Run'? | Cricket, Football americano, Baseball, Golf | Ans: 2 (Baseball)
1705: Quanti giocatori per squadra ci sono in campo contemporaneamente nella pallavolo indoor? | 5, 6, 7, 8 | Ans: 1 (6)
1706: In quale città si trova il celebre stadio di Wembley? | Manchester, Liverpool, Londra, Birmingham | Ans: 2 (Londra)
1707: Qual è la distanza ufficiale di una maratona? | 40,000 km, 42,195 km, 45,000 km, 50,000 km | Ans: 1 (42,195 km)
1708: Quale sciatore italiano era soprannominato 'La Bomba'? | Gustav Thöni, Kristian Ghedina, Alberto Tomba, Piero Gros | Ans: 2 (Alberto Tomba)
1709: Chi detiene il record del mondo sui 100 metri piani maschili (al 2023)? | Carl Lewis, Tyson Gay, Usain Bolt, Justin Gatlin | Ans: 2 (Usain Bolt)
1710: Quale scuderia di Formula 1 ha come simbolo il Cavallino Rampante? | McLaren, Ferrari, Red Bull, Mercedes | Ans: 1 (Ferrari)
1711: In quale sport è diventato una leggenda Tiger Woods? | Tennis, Golf, Polo, Croquet | Ans: 1 (Golf)
1712: Quale nazione è celebre per la squadra di rugby degli 'All Blacks'? | Australia, Sudafrica, Nuova Zelanda, Inghilterra | Ans: 2 (Nuova Zelanda)
1713: Quanti punti vale un 'touchdown' nel football americano (senza contare l'extra point)? | 3, 5, 6, 7 | Ans: 2 (6)
1714: Quale prestigioso trofeo viene conteso tra Europa e Stati Uniti nel golf? | Coppa Davis, America's Cup, Ryder Cup, Stanley Cup | Ans: 2 (Ryder Cup)
1715: Quale nazione ha vinto il Mondiale di calcio maschile nel 2006? | Francia, Italia, Brasile, Germania | Ans: 1 (Italia)
1716: Quale nuotatore detiene il record assoluto di medaglie d'oro olimpiche? | Ian Thorpe, Mark Spitz, Michael Phelps, Ryan Lochte | Ans: 2 (Michael Phelps)
1717: Quante buche compongono un giro standard in un campo da golf? | 9, 12, 18, 21 | Ans: 2 (18)
1718: In quale sport si colpisce un 'volano' invece di una palla? | Squash, Badminton, Ping Pong, Padel | Ans: 1 (Badminton)
1719: Quale famosa squadra di calcio spagnola è nota come 'I Blancos'? | Barcellona, Atletico Madrid, Real Madrid, Siviglia | Ans: 2 (Real Madrid)
1720: In quale nazione si tiene l'infernale classica ciclistica della 'Parigi-Roubaix'? | Belgio, Francia, Olanda, Italia | Ans: 1 (Francia)
1721: In quale sport un giocatore utilizza regolarmente una stecca e del gesso blu? | Baseball, Biliardo, Bowling, Cricket | Ans: 1 (Biliardo)
1722: Quale celebre ciclista italiano era soprannominato 'Il Pirata'? | Fausto Coppi, Gino Bartali, Marco Pantani, Vincenzo Nibali | Ans: 2 (Marco Pantani)
1723: Quale squadra di calcio italiana ha vinto il maggior numero di scudetti in Serie A? | Milan, Inter, Juventus, Roma | Ans: 2 (Juventus)
1724: In quale città si gioca il prestigioso torneo di tennis su erba del Grande Slam? | Parigi, New York, Londra (Wimbledon), Melbourne | Ans: 2 (Londra (Wimbledon))
1725: Chi è il giocatore di basket che ha segnato 100 punti in una singola partita NBA? | Michael Jordan, Kobe Bryant, LeBron James, Wilt Chamberlain | Ans: 3 (Wilt Chamberlain)
1726: In quale corsa a tappe il leader della classifica generale indossa la 'Maglia Rosa'? | Tour de France, Giro d'Italia, Vuelta a España, Giro di Svizzera | Ans: 1 (Giro d'Italia)
1727: Quale attrezzo si usa per colpire il disco (puck) nell'hockey su ghiaccio? | Mazza, Stecca (Bastone), Racchetta, Scopa | Ans: 1 (Stecca (Bastone))
1728: Quale nazione ha inventato e sviluppato l'arte marziale del Judo? | Cina, Corea del Sud, Giappone, Thailandia | Ans: 2 (Giappone)
1729: In quale sport di squadra esiste il ruolo specializzato del 'Libero', che indossa una maglia diversa? | Calcio, Basket, Pallavolo, Pallanuoto | Ans: 2 (Pallavolo)
1730: Quale nazione ha ospitato le Olimpiadi estive del 2000? | Grecia, Cina, Stati Uniti, Australia (Sydney) | Ans: 3 (Australia (Sydney))
1731: Come si chiama l'area nel calcio in cui il portiere può prendere il pallone con le mani? | Area piccola, Area di rigore, Area tecnica, Cerchio di centrocampo | Ans: 1 (Area di rigore)
1732: Quale tennista donna ha vinto il maggior numero di tornei del Grande Slam in singolare nell'Era Open? | Steffi Graf, Martina Navratilova, Serena Williams, Margaret Court | Ans: 2 (Serena Williams)
1733: Quale pilota britannico detiene il record di mondiali vinti in Formula 1 (a pari merito con Schumacher)? | Ayrton Senna, Sebastian Vettel, Alain Prost, Lewis Hamilton | Ans: 3 (Lewis Hamilton)
1734: In quale nazione si trova lo storico circuito automobilistico di Silverstone? | Stati Uniti, Germania, Regno Unito, Francia | Ans: 2 (Regno Unito)
1735: Nelle gare miste di nuoto, qual è tradizionalmente lo stile più veloce? | Rana, Dorso, Farfalla, Stile libero (Crawl) | Ans: 3 (Stile libero (Crawl))
1736: In quale specialità dell'atletica leggera l'italiano Marcell Jacobs ha vinto l'oro olimpico a Tokyo 2020? | 200 metri piani, Salto in lungo, 100 metri piani, Staffetta 4x400 | Ans: 2 (100 metri piani)
1737: Quante basi (incluso il piatto di casa) compongono il 'diamante' in un campo da baseball? | 3, 4, 5, 6 | Ans: 1 (4)
1738: Quale famoso allenatore di calcio portoghese è celebre per il soprannome 'Lo Special One'? | Pep Guardiola, Carlo Ancelotti, José Mourinho, Jurgen Klopp | Ans: 2 (José Mourinho)
1739: Quale sport praticava il leggendario campione Muhammad Ali? | Lotta libera, Arti marziali miste, Pugilato, Kickboxing | Ans: 2 (Pugilato)
1740: In quale nazione si svolge l'unico torneo del Grande Slam di tennis giocato su terra rossa (Roland Garros)? | Inghilterra, Spagna, Italia, Francia | Ans: 3 (Francia)
1741: Quanti anelli colorati si intrecciano per formare il simbolo ufficiale dei Giochi Olimpici? | 4, 5, 6, 7 | Ans: 1 (5)
1742: Da quanti pezzi totali è composto l'esercito di un singolo giocatore all'inizio di una partita a scacchi? | 12, 14, 16, 20 | Ans: 2 (16)
1743: In quale sport acquatico di squadra i giocatori indossano obbligatoriamente una calottina con protezioni rigide per le orecchie? | Nuoto sincronizzato, Pallanuoto, Tuffi, Sci nautico | Ans: 1 (Pallanuoto)
1744: In quale sport invernale gli atleti 'spazzano' il ghiaccio davanti a una pesante pietra di granito in movimento? | Hockey su ghiaccio, Pattinaggio di figura, Bobsleigh, Curling | Ans: 3 (Curling)
1745: Qual è il diametro ufficiale del ferro (l'anello) del canestro nella pallacanestro? | 40 cm, 45 cm, 50 cm, 55 cm | Ans: 1 (45 cm)
1746: In quale disciplina sportiva è diventata una leggenda internazionale l'americana Simone Biles? | Nuoto, Atletica leggera, Ginnastica artistica, Pattinaggio su ghiaccio | Ans: 2 (Ginnastica artistica)
1747: Quale ciclista italiano, nel 1998, è riuscito nella storica doppietta vincendo Giro d'Italia e Tour de France nello stesso anno? | Vincenzo Nibali, Ivan Basso, Marco Pantani, Mario Cipollini | Ans: 2 (Marco Pantani)
1748: Quanti giocatori compongono una squadra in campo nel rugby union (la variante più diffusa)? | 11, 13, 15, 18 | Ans: 2 (15)
1749: Quale arte marziale coreana è famosa a livello olimpico per il suo ampio uso di calci spettacolari e veloci? | Karate, Taekwondo, Judo, Kung Fu | Ans: 1 (Taekwondo)
1750: In quale nazione europea la nazionale italiana di calcio ha sollevato la sua terza Coppa del Mondo nel 1982? | Italia, Spagna, Messico, Germania | Ans: 1 (Spagna)
1751: Come si chiama il prestigioso torneo annuale di rugby a 15 a cui partecipa l'Italia assieme ad altre potenze europee? | Rugby Championship, Torneo delle Sei Nazioni, Coppa del Mondo, Heineken Cup | Ans: 1 (Torneo delle Sei Nazioni)
1752: Quale sport utilizza un tavolo diviso da una rete, piccole racchette in legno e gomma, e una pallina molto leggera? | Padel, Tennis, Badminton, Tennistavolo (Ping Pong) | Ans: 3 (Tennistavolo (Ping Pong))
1753: In quale città italiana si sono svolte le Olimpiadi Invernali del 2006? | Milano, Cortina d'Ampezzo, Torino, Sestriere | Ans: 2 (Torino)
1754: Quale ex pilota di motociclismo ha vinto 9 titoli mondiali ed è iconograficamente legato al numero 46? | Marc Marquez, Max Biaggi, Giacomo Agostini, Valentino Rossi | Ans: 3 (Valentino Rossi)
1755: Quale celebre squadra di calcio gioca le proprie partite casalinghe nel monumentale stadio 'Camp Nou'? | Real Madrid, Barcellona, Valencia, Atletico Madrid | Ans: 1 (Barcellona)
1756: In quale specialità dell'atletica leggera l'atleta si serve di un lungo attrezzo flessibile per superare un'asticella sopraelevata? | Salto in alto, Salto in lungo, Salto con l'asta, Lancio del giavellotto | Ans: 2 (Salto con l'asta)
1757: Da quale nazione proviene la Capoeira, un'arte marziale dissimulata che fonde lotta, danza e acrobazia? | Messico, Colombia, Brasile, Argentina | Ans: 2 (Brasile)
1758: Quale nuotatrice italiana ha conquistato la medaglia d'oro nei 200 metri stile libero alle Olimpiadi di Pechino 2008? | Novella Calligaris, Federica Pellegrini, Alessia Filippi, Simona Quadarella | Ans: 1 (Federica Pellegrini)
1759: Nel punteggio tradizionale del tennis, qual è il termine inglese usato al posto di 'zero'? | Zero, Null, Nil, Love | Ans: 3 (Love)
1760: In una partita ufficiale di calcio, quanti arbitri principali dirigono le azioni correndo sul terreno di gioco? | 1, 2, 3, 4 | Ans: 0 (1)
1761: Quale famosa franchigia NBA gioca le sue partite casalinghe nella leggendaria arena del Madison Square Garden? | Brooklyn Nets, Boston Celtics, New York Knicks, Chicago Bulls | Ans: 2 (New York Knicks)
1762: In quale sport gli atleti competono ad alta velocità all'interno di una struttura ovale chiamata 'velodromo'? | Pattinaggio di velocità, Ciclismo su pista, Atletica leggera, Corsa coi levrieri | Ans: 1 (Ciclismo su pista)
1763: Quale nazione ha ospitato i Mondiali di calcio maschile nel 2014, culminati con la vittoria della Germania? | Sudafrica, Brasile, Russia, Qatar | Ans: 1 (Brasile)
1764: Nel golf, cosa si intende quando un giocatore realizza un 'Hole in one'? | Un tiro finito in acqua, Completare la buca in un solo colpo, Un torneo con una sola buca, Fare centro nella buca finale | Ans: 1 (Completare la buca in un solo colpo)
1765: Quale di queste discipline fisiche NON fa parte delle tre frazioni del triathlon olimpico tradizionale? | Nuoto, Ciclismo, Corsa, Pattinaggio in linea | Ans: 3 (Pattinaggio in linea)
1766: Quale ginnasta romena stupì il mondo ottenendo il primo 10 perfetto alle Olimpiadi di Montreal 1976? | Nadia Comaneci, Svetlana Khorkina, Mary Lou Retton, Olga Korbut | Ans: 0 (Nadia Comaneci)
1767: Qual è di gran lunga lo sport più seguito, praticato e popolare in India? | Hockey su prato, Calcio, Cricket, Badminton | Ans: 2 (Cricket)
1768: Quale iconico numero 10 argentino è celebre per il gol passato alla storia come la 'Mano de Dios'? | Pelé, Diego Armando Maradona, Lionel Messi, Gabriel Batistuta | Ans: 1 (Diego Armando Maradona)
1769: Nel calcio ad eliminazione diretta, come si chiama il periodo di gioco extra di 30 minuti previsto in caso di parità al 90'? | Rigori, Golden Goal, Tempi supplementari, Recupero | Ans: 2 (Tempi supplementari)
1770: In quale disciplina ginnica l'atleta esegue serie di salti ed evoluzioni aeree su una grande rete molleggiata? | Ginnastica ritmica, Corpo libero, Trampolino elastico, Volteggio | Ans: 2 (Trampolino elastico)
1771: In quale nazione e anno si è tenuta la prima, storica edizione della Coppa del Mondo FIFA di calcio? | Uruguay 1930, Italia 1934, Francia 1938, Brasile 1950 | Ans: 0 (Uruguay 1930)
1772: Insieme alla spada e alla sciabola, qual è la terza arma ufficiale utilizzata nella scherma sportiva? | Pugnale, Fioretto, Picca, Alabarda | Ans: 1 (Fioretto)
1773: Qual è il numero massimo di bastoni che un golfista professionista può legalmente portare nella sua sacca in gara? | 10, 12, 14, 18 | Ans: 2 (14)
1774: Quale squadra della NFL detiene il record (a pari merito con Pittsburgh) per il maggior numero di Super Bowl vinti? | Dallas Cowboys, New England Patriots, Green Bay Packers, San Francisco 49ers | Ans: 1 (New England Patriots)
1775: Nel football americano, quale giocatore chiave riceve lo snap dal centro e orchestra tipicamente l'attacco della squadra? | Running Back, Wide Receiver, Quarterback, Linebacker | Ans: 2 (Quarterback)
1776: Quale adrenalinico sport invernale prevede la discesa singola su una piccola slitta, correndo proni e con la testa in avanti? | Bob, Slittino, Skeleton, Sci alpino | Ans: 2 (Skeleton)
1777: Quale nazione ha dominato e vinto la primissima edizione della Coppa del Mondo di rugby svoltasi nel 1987? | Australia, Nuova Zelanda, Inghilterra, Galles | Ans: 1 (Nuova Zelanda)
1778: Nel judo e nel karate, quale termine di origine giapponese indica il punto completo che decreta la vittoria immediata? | Waza-ari, Yuko, Koka, Ippon | Ans: 3 (Ippon)
1779: Come si chiama il celebre e angusto circuito cittadino che ospita il prestigioso Gran Premio di Formula 1 del Principato? | Circuito Paul Ricard, Circuito di Monte Carlo, Autodromo di Monza, Circuito di Silverstone | Ans: 1 (Circuito di Monte Carlo)
